database name	url	status	statusLastUpdated	data_url	data_mimetype	manager	institution	country
International Spinach Database	http://ecpgr.cgn.wur.nl/LVintro/spinach/	list of xls	2017-12-08			Rob van Treuren	Centre for Genetic Resources, the Netherlands (CGN), Wageningen University and Research Centre	Netherlands
JIC Pisum Collection	http://data.jic.ac.uk/cgi-bin/germplasm/pisum/	online search only;	2017-12-08			Mike Ambrose [DB]	Department of Crop Genetics, John Innes Centre	United Kingdom
JIC Triticeae Collection	http://data.jic.ac.uk/cgi-bin/germplasm/triticeae/	500 internal server error	2017-12-08			Steve Reader	John Innes Centre	United Kingdom
Musa Germplasm Information System (MGIS)	http://www.crop-diversity.org/banana/	online search; data export by accession	2017-12-08					
OLEA	http://www.oleadb.it/	online search only;	2017-12-08			Giorgio Bartolini		Italy
Rice (Oryza)	http://golo.cirad.fr/CRB_T_WEB/FR/CRB_T_Collections.awp	online search only;	2017-12-08					
SCRI Commonwealth Potato Collection	http://germinate.scri.ac.uk/germinate_cpc/app/index.pl	download of online search results; no archive	2017-12-08				SRCI	United Kingdom
Sorghum (Sorghum)	http://golo.cirad.fr/CRB_T_WEB/FR/CRB_T_Collections_Sorgho.awp	online search only;	2017-12-08					
The BBSRC Small Grain Cereal Collections	http://data.jic.ac.uk/cgi-bin/germplasm/cereals.asp	online search only;	2017-12-08			Mike Ambrose [DB]	Department of Crop Genetics, John Innes Centre	United Kingdom
The EGID Citrus Network Database	http://corsica.corse.inra.fr/sra/egide.htm	cannot be reached;	2017-12-08			EGID	SRA INRA-CIRAD	France
The Harold and Adele Lieberman Germplasm Bank	http://www2.tau.ac.il/ICCI/default.asp	too many redirects;	2017-12-08			Adina Breiman	Institute for Cereals Crop Improvement (ICCI), Tel Aviv University	Israel
The International Cocoa Germplasm Database (ICGD)	http://www.icgd.reading.ac.uk/index.php	download of online search results;	2017-12-08				ICGD - University of Reading, School of Biological Sciences, Harborne Building (PSL),	United Kingdom
The NTGB Breadfruit Collection	http://ntbg.org/breadfruit/collection/	404 page not found	2017-12-08				National Tropical Botanical Garden's (NTBG), Breadfruit Institute	United States
Wild Bean Database (PHASEO)	http://www.br.fgov.be/RESEARCH/COLLECTIONS/LIVING/PHASEOLUS/index.html	online search only;	2017-12-08			Thierry Vanderborght	National Botanic Garden of Belgium	Belgium
